pinyin	phonemes
cha	[tʂʰɑ]
chai	[tʂʰaɪ̯]
chao	[tʂʰɑʊ̯]
chan	[tʂʰan]
chang	[tʂʰɑŋ]
che	[tʂʰɯ̯ʌ]
chen	[tʂʰən]
cheng	[tʂʰəŋ]
chou	[tʂʰɤʊ̯]
chong	[tʂʰʊŋ]
chi	[tʂʰʅ]
chu	[tʂʰu]
chua	[tʂʰu̯ɑ]
chuai	[tʂʰu̯aɪ̯]
chui	[tʂʰu̯eɪ̯]
chuo	[tʂʰu̯ɔ]
chuan	[tʂʰu̯an]
chuang	[tʂʰu̯ɑŋ]
chun	[tʂʰu̯ən]
sha	[ʂɑ]
shai	[ʂaɪ̯]
shao	[ʂɑʊ̯]
shan	[ʂan]
shang	[ʂɑŋ]
she	[ʂɯ̯ʌ]
shei	[ʂeɪ̯]
shen	[ʂən]
sheng	[ʂəŋ]
shou	[ʂɤʊ̯]
shi	[ʂʅ]
shu	[ʂu]
shua	[ʂu̯ɑ]
shuai	[ʂu̯aɪ̯]
shui	[ʂu̯eɪ̯]
shuo	[ʂu̯ɔ]
shuan	[ʂu̯an]
shuang	[ʂu̯ɑŋ]
shun	[ʂu̯ən]
rao	[ʐɑʊ̯]
ran	[ʐan]
rang	[ʐɑŋ]
re	[ʐɯ̯ʌ]
ren	[ʐən]
reng	[ʐəŋ]
rou	[ʐɤʊ̯]
rong	[ʐʊŋ]
ri	[ʐʅ]
ru	[ʐu]
rua	[ʐu̯ɑ]
rui	[ʐu̯eɪ̯]
ruo	[ʐu̯ɔ]
ruan	[ʐu̯an]
run	[ʐu̯ən]
ji	[tɕi]
jia	[tɕi̯ɑ]
jiao	[tɕi̯ɑʊ̯]
jie	[tɕiɛ]
jiu	[tɕi̯ɤʊ̯]
jian	[tɕiɛn]
jiang	[tɕi̯ɑŋ]
jin	[tɕin]
jing	[tɕiŋ]
jiong	[tɕi̯ʊŋ]
ju	[tɕy]
jue	[tɕy̯œ]
juan	[tɕy̯ɛn]
jun	[tɕyn]
qi	[tɕʰi]
qia	[tɕʰi̯ɑ]
qiao	[tɕʰi̯ɑʊ̯]
qie	[tɕʰiɛ]
qiu	[tɕʰi̯ɤʊ̯]
qian	[tɕʰiɛn]
qiang	[tɕʰi̯ɑŋ]
qin	[tɕʰin]
qing	[tɕʰiŋ]
qiong	[tɕʰi̯ʊŋ]
qu	[tɕʰy]
que	[tɕʰy̯œ]
quan	[tɕʰy̯ɛn]
qun	[tɕʰyn]
xi	[ɕi]
xia	[ɕi̯ɑ]
xiao	[ɕi̯ɑʊ̯]
xie	[ɕiɛ]
xiu	[ɕi̯ɤʊ̯]
xian	[ɕiɛn]
xiang	[ɕi̯ɑŋ]
xin	[ɕin]
xing	[ɕiŋ]
xiong	[ɕi̯ʊŋ]
xu	[ɕy]
xue	[ɕy̯œ]
xuan	[ɕy̯ɛn]
xun	[ɕyn]
ga	[kɑ]
gai	[kaɪ̯]
gao	[kɑʊ̯]
gan	[kan]
gang	[kɑŋ]
ge	[kɯ̯ʌ]
gei	[keɪ̯]
gen	[kən]
geng	[kəŋ]
gou	[kɤʊ̯]
gong	[kʊŋ]
gu	[ku]
gua	[ku̯ɑ]
guai	[ku̯aɪ̯]
gui	[ku̯eɪ̯]
guo	[ku̯ɔ]
guan	[ku̯an]
guang	[ku̯ɑŋ]
gun	[ku̯ən]
ka	[kʰɑ]
kai	[kʰaɪ̯]
kao	[kʰɑʊ̯]
kan	[kʰan]
kang	[kʰɑŋ]
ke	[kʰɯ̯ʌ]
kei	[kʰeɪ̯]
ken	[kʰən]
keng	[kʰəŋ]
kou	[kʰɤʊ̯]
kong	[kʰʊŋ]
ku	[kʰu]
kua	[kʰu̯ɑ]
kuai	[kʰu̯aɪ̯]
kui	[kʰu̯eɪ̯]
kuo	[kʰu̯ɔ]
kuan	[kʰu̯an]
kuang	[kʰu̯ɑŋ]
kun	[kʰu̯ən]
ha	[xɑ]
hai	[xaɪ̯]
hao	[xɑʊ̯]
han	[xan]
hang	[xɑŋ]
he	[xɯ̯ʌ]
hei	[xeɪ̯]
hen	[xən]
heng	[xəŋ]
hou	[xɤʊ̯]
hong	[xʊŋ]
hu	[xu]
hua	[xu̯ɑ]
huai	[xu̯aɪ̯]
hui	[xu̯eɪ̯]
huo	[xu̯ɔ]
huan	[xu̯an]
huang	[xu̯ɑŋ]
hun	[xu̯ən]
